['09:11:53', 11890, 11895, 174824, 133468, 66545, 10049, 5755, 72364, 99652, 126299, -48525, -33816, 5819, -4294]
['09:12:03', 11890, 11900, 153634, 135274, 83243, 10260, 15519, 58366, 80899, 105819, -47815, -54375, -24877, 5259]
['09:12:12', 11900, 11905, 234612, 195963, 74746, 6560, 10639, 45097, 71622, 92512, -142100, -124341, -29649, 4079]
['09:12:23', 11905, 11910, 212983, 173621, 139697, 24875, 11729, 66434, 96026, 117607, -95376, -77595, -73263, -13146]
['09:12:33', 11910, 11915, 185939, 149713, 113572, 982, 32643, 68573, 90088, 113164, -72775, -59625, -44999, 31661]
['09:12:43', 11910, 11915, 119327, 80513, 39351, 3405, 25826, 71157, 88790, 117866, -1461, 8277, 31806, 22421]
['09:12:53', 11900, 11905, 126119, 99167, 52482, 13128, 8935, 34760, 59123, 85748, -40371, -40044, -17722, -4193]
['09:13:03', 11910, 11915, 123801, 82183, 42400, 4, 15223, 58557, 82947, 110002, -13799, 764, 16157, 15219]
['09:13:13', 11900, 11905, 145143, 102916, 41252, 2903, 13644, 44446, 73367, 92460, -52683, -29549, 3194, 10741]
['09:13:23', 11890, 11895, 119662, 59481, 25987, 2533, 3058, 37774, 63972, 91520, -28142, 4491, 11787, 525]
['09:13:33', 11890, 11895, 118219, 72526, 37072, 9103, 110, 33372, 56234, 83959, -34260, -16292, -3700, -8993]
['09:13:43', 11880, 11885, 105674, 71004, 32615, 2500, 18091, 43630, 63076, 96910, -8764, -7928, 11015, 15591]
['09:13:53', 11885, 11890, 115815, 63393, 41560, 2500, 9509, 46775, 67449, 94072, -21743, 4056, 5215, 7009]
['09:14:02', 11890, 11895, 131795, 81657, 51980, 14315, 5, 38107, 70935, 94136, -37659, -10722, -13873, -14310]
['09:14:12', 11885, 11890, 128720, 62911, 42925, 6261, 6836, 45628, 67428, 97437, -31283, 4517, 2703, 575]
['09:14:23', 11885, 11890, 120977, 45010, 25639, 3187, 18270, 57287, 85764, 112603, -8374, 40754, 31648, 15083]
['09:14:33', 11900, 11905, 138714, 94718, 44390, 7775, 37018, 76601, 117646, 147789, 9075, 22928, 32211, 29243]
['09:14:43', 11895, 11900, 144781, 104533, 32527, 3700, 11582, 74288, 107931, 133520, -11261, 3398, 41761, 7882]
['09:14:53', 11890, 11900, 140121, 98416, 38604, 14609, 31235, 73719, 112947, 137625, -2496, 14531, 35115, 16626]
['09:15:03', 11895, 11900, 128001, 87240, 29009, 3177, 6259, 53999, 87688, 116495, -11506, 448, 24990, 3082]
['09:15:13', 11895, 11900, 135718, 95789, 42047, 681, 13248, 46605, 83703, 104237, -31481, -12086, 4558, 12567]
['09:15:23', 11890, 11895, 158941, 107916, 63017, 7743, 18, 36961, 84776, 116212, -42729, -23140, -26056, -7725]
['09:15:33', 11895, 11900, 164410, 123962, 64941, 16701, 2391, 39573, 79229, 107886, -56524, -44733, -25368, -14310]
['09:15:43', 11895, 11900, 154010, 113591, 54608, 3787, 7030, 53421, 91049, 119710, -34300, -22542, -1187, 3243]
['09:15:53', 11895, 11900, 150335, 110625, 54301, 4220, 4215, 53231, 94616, 123227, -27108, -16009, -1070, -5]
['09:16:03', 11890, 11895, 141388, 92886, 51479, 7497, 7560, 47884, 95908, 121947, -19441, 3022, -3595, 63]
['09:16:13', 11885, 11890, 149829, 92719, 44319, 8038, 165, 66103, 92732, 122453, -27376, 13, 21784, -7873]
['09:16:23', 11875, 11880, 101006, 58045, 23881, 1801, 22667, 80179, 109508, 133847, 32841, 51463, 56298, 20866]
['09:16:33', 11890, 11900, 158043, 124326, 66462, 19933, 27812, 65235, 109692, 127167, -30876, -14634, -1227, 7879]
['09:16:43', 11895, 11900, 157032, 121261, 63573, 23765, 22432, 67665, 95335, 128661, -28371, -25926, 4092, -1333]
['09:16:53', 11890, 11900, 187864, 157192, 93360, 45954, 28896, 70739, 114654, 132951, -54913, -42538, -22621, -17058]
['09:17:03', 11895, 11900, 164341, 129063, 65553, 23973, 13101, 64870, 90432, 124010, -40331, -38631, -683, -10872]
['09:17:13', 11890, 11900, 168312, 134803, 73002, 26168, 20988, 65000, 111283, 127090, -41222, -23520, -8002, -5180]
['09:17:23', 11895, 11900, 166106, 131978, 72685, 20294, 5030, 45077, 78224, 129365, -36741, -53754, -27608, -15264]
['09:17:33', 11895, 11900, 126935, 94168, 32654, 2500, 8319, 48550, 80761, 129414, 2479, -13407, 15896, 5819]
['09:17:43', 11885, 11890, 115615, 64625, 31801, 2500, 8056, 46073, 105986, 134947, 19332, 41361, 14272, 5556]
['09:17:53', 11890, 11895, 117804, 69300, 23230, 2588, 11841, 52450, 109260, 141516, 23712, 39960, 29220, 9253]
['09:18:04', 11885, 11890, 119469, 64759, 26976, 1, 6985, 48340, 108373, 134799, 15330, 43614, 21364, 6984]
['09:18:13', 11890, 11895, 133775, 86618, 28936, 4564, 5247, 52843, 102703, 136494, 2719, 16085, 23907, 683]
['09:18:23', 11895, 11900, 157000, 129574, 72915, 33567, 7540, 139327, 190461, 237400, 80400, 60887, 66412, -26027]
['09:18:33', 11895, 11900, 157053, 123892, 61045, 26494, 598, 135500, 186692, 229960, 72907, 62800, 74455, -25896]
['09:18:43', 11895, 11900, 140330, 107818, 42878, 18715, 10315, 156703, 199777, 239773, 99443, 91959, 113825, -8400]
['09:18:53', 11900, 11905, 139852, 104267, 49599, 8203, 6083, 150771, 191960, 231211, 91359, 87693, 101172, -2120]
['09:19:03', 11895, 11900, 139741, 107170, 39685, 3422, 8869, 147908, 196142, 239648, 99907, 88972, 108223, 5447]
['09:19:13', 11890, 11895, 151756, 104117, 56296, 9189, 101909, 139790, 191015, 225552, 73796, 86898, 83494, 92720]
['09:19:23', 11890, 11895, 150966, 103479, 61556, 7658, 104920, 141670, 193729, 228296, 77330, 90250, 80114, 97262]
